,year,workstat,age,divorce,widowed,educ,Total no of Children,income,region convert,attend convert,owngun convert,tvhours converted,vhappy,mothfath16,black,female,blackfemale,occattend,regattend,unem10,happy
32,1994,8,42,2,0,12,0,6,2,1,2,2,0,0,0,0,0,0,0,1,1
33,1994,1,24,2,0,12,3,2,2,4,0,4,0,1,1,1,1,1,0,2,1
34,1994,1,28,2,0,16,0,1,2,5,2,7,0,1,1,1,1,0,0,1,0
35,1994,1,60,0,0,16,2,6,2,1,0,2,0,0,0,1,0,0,0,2,0
36,1994,8,44,0,0,16,0,6,2,2,0,-1,0,1,0,1,0,1,0,0,0
37,1994,8,65,2,0,16,0,6,2,1,0,1,0,1,0,0,0,0,0,2,1
38,1994,3,32,2,0,13,0,2,2,0,0,-1,0,1,0,0,0,0,0,0,0
39,1994,9,58,1,0,19,0,7,2,0,0,-1,0,1,0,1,0,0,0,1,1
40,1994,8,51,2,0,18,0,6,2,2,2,1,0,0,0,0,0,1,0,0,1
41,1994,1,59,0,0,16,1,6,2,3,2,4,1,0,0,1,0,1,0,0,1
42,1994,8,64,2,0,18,0,6,2,5,2,3,0,1,0,1,0,0,0,0,1
43,1994,7,47,2,0,17,1,6,2,0,0,2,0,0,0,1,0,0,0,2,1
44,1994,4,60,0,0,12,0,6,2,0,0,-1,0,0,0,1,0,0,0,0,1
45,1994,6,28,2,0,13,0,7,2,0,0,-1,0,0,0,1,0,0,0,0,0
46,1994,8,25,2,0,14,0,4,2,2,0,2,1,1,0,1,0,1,0,2,1
47,1994,1,29,2,0,12,2,7,2,2,0,3,0,1,1,1,1,1,0,2,0
48,1994,5,29,2,0,18,0,1,2,1,0,2,0,0,1,0,0,0,0,2,0
49,1994,1,29,2,0,11,3,4,2,2,2,2,0,0,1,1,1,1,0,0,1
50,1994,1,52,2,0,12,0,1,2,1,0,-1,0,0,1,1,1,0,0,1,0
51,1994,1,46,0,0,12,1,3,2,2,0,-1,0,1,1,1,1,1,0,0,1
52,1994,8,42,2,0,15,0,6,2,5,2,2,0,1,1,0,0,0,0,0,1
53,1994,4,50,0,0,12,0,7,2,4,0,3,0,1,1,0,0,1,0,2,0
54,1994,1,33,0,0,14,2,6,2,5,0,2,0,1,0,1,0,0,0,2,1
55,1994,8,51,2,0,13,0,6,2,4,2,6,0,1,0,1,0,1,0,0,1
56,1994,8,31,0,0,16,2,6,2,1,0,-1,1,1,0,0,0,0,0,0,1
57,1994,8,30,1,0,13,1,6,2,5,2,2,1,1,0,0,0,0,0,1,1
58,1994,8,45,1,0,13,0,6,2,1,0,4,0,1,0,0,0,0,0,2,1
59,1994,8,64,1,0,19,3,6,2,1,2,1,1,0,0,1,0,0,0,0,1
60,1994,8,22,0,0,9,1,6,2,0,0,5,0,1,0,0,0,0,0,2,1
61,1994,8,17,2,0,12,0,7,2,5,0,1,0,0,0,0,0,0,1,2,1
62,1994,1,0,2,0,16,4,7,2,0,0,-1,0,1,1,1,1,0,0,2,1
63,1994,8,41,1,0,12,0,7,2,1,0,3,0,0,1,1,1,0,0,2,1
64,1994,4,40,0,0,11,0,6,2,6,0,-1,0,1,1,0,0,0,1,0,1
65,1994,5,0,2,0,15,0,7,2,1,0,-1,1,0,1,0,0,0,0,0,1
66,1994,8,40,1,0,12,0,6,2,1,0,2,0,1,1,0,0,0,0,2,1
67,1994,8,42,2,0,12,0,7,2,5,2,2,1,1,1,1,1,0,0,0,1
68,1994,8,74,2,0,16,0,7,2,4,0,2,1,0,1,1,1,1,0,2,1
69,1994,9,40,2,0,16,0,7,2,1,2,3,0,1,1,1,1,0,0,1,0
70,1994,3,37,1,0,10,3,4,2,3,2,5,0,1,0,0,0,1,0,0,1
71,1994,1,0,2,0,10,2,2,2,0,0,-1,0,0,0,1,0,0,0,0,1
72,1994,1,31,0,0,12,2,3,2,3,0,-1,0,1,0,1,0,1,0,2,1
73,1994,8,21,0,0,8,2,3,2,2,0,-1,1,1,0,0,0,1,0,0,1
74,1994,1,0,2,0,12,1,2,2,5,2,6,0,1,1,1,1,0,1,1,1
75,1994,9,36,0,0,12,2,3,2,0,2,4,0,1,1,1,1,0,0,0,1
76,1994,9,17,2,0,12,4,2,2,4,0,-1,0,0,1,1,1,1,0,0,1
77,1994,4,49,0,0,8,0,7,2,1,0,-1,0,1,0,0,0,0,0,0,0
78,1994,8,61,1,0,16,1,6,4,5,1,1,1,0,0,0,0,0,0,2,1
79,1994,8,75,0,0,19,2,6,4,2,0,2,0,0,0,0,0,1,0,2,1
80,1994,4,50,0,0,16,0,6,4,5,0,1,1,0,0,0,0,0,0,2,1
81,1994,8,86,0,0,20,0,6,4,1,1,0,0,0,0,1,0,0,0,2,1
82,1994,9,23,2,0,16,0,3,4,5,0,1,0,1,0,1,0,0,0,2,1
83,1994,4,47,2,0,16,0,4,4,5,0,2,1,0,0,0,0,0,0,2,1
84,1994,8,65,2,0,16,0,7,2,0,0,-1,1,1,0,0,0,0,0,1,1
85,1994,8,32,0,0,16,2,6,2,2,2,2,0,1,0,0,0,1,0,0,1
86,1994,6,66,2,0,12,0,7,2,5,0,-1,0,1,1,1,1,0,0,1,1
87,1994,1,48,0,0,13,3,7,2,2,0,-1,1,0,0,1,0,1,0,0,1
88,1994,4,53,0,0,12,0,6,2,5,2,1,1,1,0,0,0,0,0,0,1
89,1994,9,23,1,0,7,1,6,2,3,2,2,1,1,0,1,0,1,0,0,1
90,1994,1,23,0,0,8,0,7,2,5,0,-1,0,0,0,1,0,0,0,0,1
91,1994,1,46,0,0,12,2,6,2,1,0,-1,1,1,0,1,0,0,0,1,1
92,1994,4,42,0,0,8,0,3,2,1,0,-1,0,0,0,1,0,0,0,0,0
93,1994,8,51,2,0,14,0,7,2,1,0,-1,1,1,0,0,0,0,0,0,1
94,1994,8,64,1,0,20,0,6,2,3,0,1,0,1,0,1,0,1,0,2,1
95,1994,8,64,1,0,20,0,6,2,1,2,1,0,1,0,1,0,0,0,0,1
96,1994,8,73,0,0,20,2,6,2,5,2,3,0,1,0,0,0,0,0,0,1
97,1994,1,34,0,0,12,0,6,2,2,2,3,0,1,0,1,0,1,0,0,1
98,1994,8,51,2,0,12,1,6,2,5,2,4,0,1,0,1,0,0,1,0,1
99,1994,1,47,0,0,12,3,4,2,2,2,4,0,0,0,1,0,1,0,1,1
100,1994,1,47,2,0,12,1,4,2,5,0,-1,0,1,1,1,1,0,1,1,1
101,1994,8,52,2,0,16,0,6,2,4,0,-1,0,0,1,1,1,1,0,0,1
102,1994,8,52,2,0,14,0,4,2,5,0,-1,0,0,1,1,1,0,0,0,1
103,1994,1,42,0,0,12,5,6,2,4,2,1,1,1,1,1,1,1,0,0,1
104,1994,8,65,1,0,12,1,6,2,6,0,3,1,1,1,1,1,0,1,2,1
105,1994,8,44,2,0,15,1,6,2,2,0,-1,0,1,1,1,1,1,0,1,0
106,1994,1,0,0,0,11,0,7,2,5,2,2,0,1,0,1,0,0,0,0,0
107,1994,8,46,0,0,13,2,7,2,5,0,-1,0,1,1,1,1,0,0,0,1
108,1994,6,24,2,0,12,4,6,2,4,2,5,0,0,1,1,1,1,0,0,1
109,1994,6,32,0,0,12,0,5,2,1,0,6,0,0,1,1,1,0,0,2,1
110,1994,5,66,0,0,16,0,6,2,1,2,6,0,1,0,1,0,0,0,0,1
111,1994,5,47,2,0,14,0,1,2,0,2,0,1,1,0,0,0,0,0,0,1
112,1994,4,74,0,0,20,0,7,2,0,0,1,0,1,0,0,0,0,0,2,1
113,1994,8,49,2,0,10,0,6,2,0,0,-1,1,1,0,0,0,0,0,1,1
114,1994,8,51,0,0,16,0,6,2,0,2,3,0,1,1,0,0,0,0,1,1
115,1994,8,86,2,0,20,0,5,2,1,0,0,0,0,0,0,0,0,0,2,1
116,1994,8,22,1,0,8,0,4,2,1,0,-1,1,0,0,0,0,0,0,0,1
117,1994,8,27,0,0,8,0,5,2,1,1,8,1,0,0,0,0,0,0,2,1
118,1994,8,51,2,0,18,0,6,2,5,0,2,0,0,0,0,0,0,0,2,1
119,1994,1,0,0,0,12,2,5,2,5,0,-1,0,1,0,1,0,0,0,2,0
120,1994,8,40,1,0,10,0,6,2,0,0,2,0,1,0,0,0,0,0,2,1
121,1994,8,46,0,0,12,0,6,2,1,1,3,1,1,0,0,0,0,0,2,1
122,1994,7,43,0,0,15,0,4,2,0,0,-1,0,1,0,1,0,0,0,1,1
123,1994,8,64,1,0,20,1,6,2,0,2,1,0,1,0,0,0,0,0,0,0
124,1994,8,48,2,0,16,0,6,2,3,2,2,1,0,0,1,0,1,0,0,1
125,1994,8,44,0,0,14,1,6,2,2,0,-1,0,1,0,0,0,1,0,0,1
126,1994,8,49,2,0,14,0,6,2,5,2,2,0,1,0,0,0,0,0,1,1
127,1994,8,44,0,0,13,3,6,2,0,2,2,1,1,0,0,0,0,0,0,1
128,1994,9,33,1,0,12,4,6,2,5,0,-1,1,1,0,0,0,0,1,0,1
129,1994,8,42,0,0,12,2,6,2,2,0,2,1,0,0,1,0,1,0,2,1
130,1994,8,41,0,0,13,2,6,2,6,0,-1,0,0,1,1,1,0,1,1,1
131,1994,4,30,0,0,5,1,6,2,1,0,5,0,0,1,0,0,0,0,2,1
132,1994,8,68,0,0,14,1,6,2,4,0,3,1,1,1,0,0,1,0,2,1
133,1994,8,30,2,0,12,1,6,2,2,0,-1,0,0,0,0,0,1,0,1,1
134,1994,9,42,2,0,9,0,3,2,5,0,-1,0,0,1,1,1,0,1,1,0
135,1994,8,40,2,0,13,0,3,2,1,0,4,0,0,1,1,1,0,0,2,1
136,1994,8,35,0,0,14,0,6,2,5,0,3,0,0,1,0,0,0,0,2,1
137,1994,8,33,2,0,11,2,4,2,2,0,-1,0,0,0,1,0,1,0,1,0
138,1994,8,47,0,0,11,0,6,2,1,2,2,0,1,0,0,0,0,0,1,1
139,1994,8,75,0,0,16,0,6,2,2,0,-1,1,1,0,0,0,1,0,0,1
140,1994,4,66,0,0,17,0,6,2,5,0,3,0,1,1,1,1,0,0,2,1
141,1994,7,33,0,0,12,2,6,2,3,2,6,1,0,1,1,1,1,0,1,1
142,1994,6,40,0,0,12,0,6,2,0,2,1,0,1,0,1,0,0,0,0,1
143,1994,8,40,0,0,16,2,6,2,2,1,-1,0,0,1,0,0,1,0,0,1
144,1994,8,38,0,0,12,1,6,2,4,1,-1,0,1,1,0,0,1,0,0,1
145,1994,1,52,0,0,20,1,6,2,5,2,4,0,0,1,1,1,0,0,0,1
146,1994,4,60,2,0,12,2,6,2,4,0,-1,0,0,1,1,1,1,0,0,0
147,1994,8,64,0,1,20,0,6,2,4,1,3,0,1,1,1,1,1,0,2,1
148,1994,7,31,0,0,12,0,7,2,0,0,6,0,0,1,0,0,0,0,2,0
149,1994,8,42,0,0,12,1,6,2,4,0,-1,0,1,1,0,0,1,0,0,1
150,1994,8,40,0,0,12,1,6,2,3,0,4,0,0,1,1,1,1,0,2,1
151,1994,9,53,0,0,16,2,6,2,2,0,-1,0,1,0,1,0,1,0,0,1
152,1994,1,0,0,0,16,1,7,2,2,0,6,1,1,0,1,0,1,0,2,1
153,1994,8,53,0,0,16,1,7,2,2,2,1,0,1,0,0,0,1,0,0,1
154,1994,8,65,0,0,16,4,6,2,5,2,1,1,0,0,0,0,0,0,0,1
155,1994,8,51,0,0,17,1,6,2,5,0,1,0,1,0,0,0,0,0,2,1
156,1994,8,34,0,0,16,1,6,2,5,0,1,0,1,0,0,0,0,1,2,1
157,1994,9,35,0,0,12,0,6,2,4,1,-1,0,1,0,1,0,1,0,0,1
158,1994,8,42,1,0,12,1,6,2,2,2,2,1,1,0,0,0,1,0,0,1
159,1994,8,49,0,0,16,0,6,2,4,2,3,0,1,0,0,0,1,0,0,1
160,1994,9,46,0,0,16,2,6,2,2,2,2,1,1,0,1,0,1,0,0,1
161,1994,3,35,2,0,16,0,7,2,2,0,-1,0,1,0,0,0,1,0,0,1
162,1994,8,66,0,0,17,2,6,2,5,0,-1,0,1,0,0,0,0,0,0,1
163,1994,8,42,0,0,17,3,7,2,4,1,1,0,1,0,1,0,1,0,2,1
164,1994,8,86,2,0,20,0,6,2,5,0,-1,0,1,0,0,0,0,0,0,1
165,1994,8,44,1,0,13,0,6,2,2,1,1,0,0,1,0,0,1,0,2,1
166,1994,9,52,0,0,16,2,7,2,2,0,-1,0,1,0,1,0,1,0,0,1
167,1994,8,44,0,0,12,0,6,2,4,2,4,0,1,0,1,0,1,0,0,1
168,1994,4,42,0,0,8,0,7,2,5,0,3,0,0,0,0,0,0,0,2,1
169,1994,9,22,2,0,99,0,3,2,1,0,1,0,1,1,0,0,0,0,2,1
170,1994,4,36,1,0,8,0,7,2,5,2,2,0,1,0,1,0,0,0,0,1
171,1994,1,23,0,0,13,2,6,2,2,1,1,1,1,0,1,0,1,0,2,1
172,1994,9,43,0,0,12,2,6,2,2,1,-1,0,1,0,1,0,1,0,1,1
173,1994,8,32,0,0,12,1,7,2,2,0,-1,1,1,0,0,0,1,0,0,1
174,1994,1,40,0,0,12,0,5,2,1,0,4,0,1,0,1,0,0,0,2,0
175,1994,8,51,2,0,16,0,6,2,6,0,1,0,1,0,1,0,0,1,2,1
176,1994,8,74,2,0,18,2,6,2,5,0,-1,1,1,0,1,0,0,0,0,1
177,1994,8,36,2,0,9,0,6,2,2,0,-1,0,1,0,1,0,1,0,0,0
178,1994,8,51,0,0,12,0,6,2,5,2,4,0,1,0,1,0,0,0,0,1
179,1994,8,51,2,0,17,0,6,2,0,0,-1,0,1,0,0,0,0,0,0,1
180,1994,8,42,0,0,14,4,6,2,1,0,-1,0,1,0,0,0,0,0,0,1
181,1994,8,75,0,0,19,2,7,2,5,0,1,0,1,0,0,0,0,0,2,1
182,1994,4,66,0,0,17,1,6,2,5,2,2,0,0,0,1,0,0,0,0,1
183,1994,8,61,0,0,17,1,6,2,2,0,1,0,1,0,1,0,1,0,2,1
184,1994,8,49,0,0,16,0,6,2,3,0,1,1,1,0,1,0,1,0,2,1
185,1994,4,47,0,0,14,0,4,2,5,0,1,0,1,0,1,0,0,0,2,1
186,1994,4,51,1,0,12,0,6,5,1,2,4,1,0,0,0,0,0,0,2,1
187,1994,6,64,1,0,18,1,6,5,1,0,1,1,1,0,0,0,0,0,2,1
188,1994,8,51,0,0,16,0,6,5,1,2,3,1,1,0,0,0,0,0,0,1
189,1994,1,46,1,0,14,0,7,5,1,2,4,0,0,0,1,0,0,0,0,1
190,1994,8,31,1,0,12,0,6,5,0,1,-1,1,0,0,0,0,0,0,0,1
191,1994,1,0,0,0,11,0,6,5,6,0,-1,1,0,0,1,0,0,1,0,1
192,1994,8,49,0,0,13,0,6,5,1,2,1,0,1,0,1,0,0,0,0,1
193,1994,8,61,0,0,16,0,6,5,1,0,1,0,0,0,0,0,0,0,2,1
194,1994,8,71,2,0,16,0,6,5,3,1,1,0,0,1,1,1,1,0,2,1
195,1994,3,38,0,0,18,3,6,5,5,2,4,0,1,0,0,0,0,1,0,1
196,1994,8,47,2,0,14,1,6,5,1,0,4,0,1,0,0,0,0,0,2,1
197,1994,8,49,0,0,16,2,6,5,5,0,-1,1,1,0,0,0,0,0,0,1
198,1994,8,46,0,0,12,0,6,5,5,0,2,1,1,0,1,0,0,0,2,1
199,1994,8,51,0,0,14,2,6,5,0,1,-1,0,1,0,0,0,0,0,0,1
200,1994,8,49,0,0,14,2,6,5,3,0,1,0,0,0,1,0,1,0,2,1
201,1994,9,25,0,0,13,1,6,5,1,2,4,1,1,0,1,0,0,0,0,1
202,1994,8,45,0,0,12,2,6,5,99,2,2,0,1,0,0,0,NA,NA,0,1
203,1994,8,36,2,0,13,2,6,5,2,0,-1,0,0,0,1,0,1,0,0,1
204,1994,8,51,0,0,16,0,6,5,1,1,2,0,1,0,0,0,0,0,2,1
205,1994,8,34,2,0,13,0,6,5,0,2,3,0,1,0,0,0,0,0,1,0
206,1994,8,50,2,0,16,0,6,5,5,1,1,1,1,0,1,0,0,0,2,1
207,1994,4,34,1,0,14,0,4,5,1,2,4,0,1,0,0,0,0,0,0,1
208,1994,8,66,2,0,16,1,7,5,5,1,1,1,1,0,1,0,0,0,2,1
209,1994,8,57,0,0,13,0,4,5,2,0,-1,0,1,0,1,0,1,0,1,1
210,1994,9,29,2,0,13,1,6,5,5,0,0,0,1,0,1,0,0,0,2,1
211,1994,4,46,0,0,13,0,7,5,5,2,3,0,1,0,1,0,0,0,0,1
212,1994,9,27,2,0,14,2,6,5,2,0,-1,0,1,0,0,0,1,0,1,0
213,1994,8,39,1,0,12,0,6,5,1,2,3,1,1,0,0,0,0,0,1,1
214,1994,4,49,0,0,16,0,5,5,2,0,-1,0,1,0,0,0,1,0,0,0
215,1994,8,22,1,0,12,0,5,5,1,2,8,0,1,0,1,0,0,0,0,1
216,1994,1,73,0,0,16,0,5,5,2,0,-1,0,1,0,1,0,1,0,0,1
217,1994,4,58,0,0,16,0,6,5,1,2,4,1,1,0,0,0,0,0,1,1
218,1994,9,46,0,0,17,1,6,5,5,0,0,0,0,0,1,0,0,0,2,1
219,1994,8,49,0,0,14,0,6,5,1,2,3,1,1,0,1,0,0,0,0,1
220,1994,8,51,0,0,19,3,6,5,4,0,2,0,1,0,0,0,1,0,2,1
221,1994,9,52,0,0,13,0,6,5,5,2,4,0,1,0,1,0,0,0,0,0
222,1994,8,66,0,0,16,0,6,5,0,2,1,0,0,0,1,0,0,0,0,1
223,1994,8,65,0,0,16,2,6,5,4,2,1,0,1,0,1,0,1,0,1,1
224,1994,7,59,2,0,16,0,6,5,1,0,3,0,0,0,0,0,0,0,2,1
225,1994,4,66,0,0,12,0,7,5,2,0,-1,0,1,0,1,0,1,0,0,1
226,1994,9,51,2,0,14,0,6,5,3,1,-1,0,1,0,1,0,1,0,0,1
227,1994,8,44,2,0,17,0,7,5,1,0,-1,0,1,0,1,0,0,0,0,1
228,1994,8,65,2,0,12,1,5,5,0,2,5,0,0,1,1,1,0,0,1,0
229,1994,8,52,0,0,16,0,6,5,5,2,4,0,1,0,1,0,0,0,1,1
230,1994,8,21,0,1,12,0,3,5,2,0,-1,1,0,0,1,0,1,0,2,1
231,1994,8,52,2,0,15,0,6,5,3,2,2,0,0,0,0,0,1,0,0,1
232,1994,1,63,0,0,17,1,2,5,1,0,2,0,1,0,1,0,0,0,2,0
233,1994,4,34,0,0,12,0,6,5,0,2,5,1,1,0,0,0,0,0,0,1
234,1994,9,45,0,0,16,0,6,5,1,2,1,0,1,0,0,0,0,0,1,1
235,1994,8,52,2,0,16,0,6,5,0,0,-1,1,1,0,1,0,0,0,0,1
236,1994,8,64,2,0,18,0,6,5,3,0,2,1,1,0,0,0,1,0,2,1
237,1994,8,36,2,0,16,0,6,5,0,0,-1,0,1,0,1,0,0,0,0,0
238,1994,8,46,2,0,13,0,6,5,1,0,2,0,1,0,1,0,0,0,2,1
239,1994,9,34,1,0,14,1,6,5,1,1,-1,0,1,0,1,0,0,0,1,1
240,1994,5,46,2,0,15,0,1,5,5,0,-1,0,1,0,1,0,0,0,0,1
241,1994,8,46,2,0,13,2,5,5,5,0,-1,0,1,0,1,0,0,0,0,1
242,1994,8,47,2,0,15,1,6,5,2,0,-1,0,0,0,1,0,1,0,1,1
243,1994,9,27,2,0,12,0,1,5,5,0,1,1,1,0,1,0,0,0,2,1
244,1994,8,35,0,0,16,1,6,5,5,2,2,0,1,0,1,0,0,0,0,1
245,1994,1,51,0,0,12,0,6,5,5,2,4,0,1,0,1,0,0,0,0,1
246,1994,8,44,1,0,14,0,6,5,0,0,2,1,1,0,1,0,0,0,2,1
247,1994,8,72,0,0,16,2,6,5,0,0,-1,0,1,0,0,0,0,0,0,1
248,1994,1,69,0,0,17,2,6,5,0,0,-1,0,1,0,1,0,0,0,0,1
249,1994,8,36,0,0,13,1,6,5,0,1,5,0,0,1,1,1,0,0,2,1
250,1994,9,47,0,0,15,3,7,5,6,2,2,0,1,0,0,0,0,1,1,1
251,1994,5,0,2,0,11,0,6,5,3,1,3,1,0,0,0,0,1,0,2,1
252,1994,8,75,2,0,19,0,6,5,5,2,1,0,1,0,0,0,0,0,0,1
253,1994,4,31,0,0,12,0,4,5,0,2,-1,0,0,0,0,0,0,0,1,0
254,1994,8,46,1,0,14,1,6,5,1,1,1,0,1,0,1,0,0,0,2,1
255,1994,8,47,2,0,16,0,6,5,2,1,-1,0,1,0,0,0,1,0,0,1
256,1994,8,44,0,0,16,2,6,5,5,0,1,1,1,0,1,0,0,0,2,1
257,1994,4,33,1,0,14,0,4,5,1,0,-1,0,0,0,0,0,0,0,1,0
258,1994,8,40,0,0,12,1,6,5,1,2,5,1,1,0,1,0,0,0,1,1
259,1994,8,64,0,0,16,0,6,5,4,0,-1,0,1,0,1,0,1,0,0,1
260,1994,8,47,0,0,19,0,6,5,0,2,2,0,1,0,1,0,0,0,0,1
261,1994,1,40,0,0,12,2,6,5,2,2,8,1,0,0,1,0,1,0,1,1
262,1994,9,32,2,0,14,0,3,5,1,2,1,0,1,0,0,0,0,0,0,1
263,1994,8,30,2,0,12,2,7,5,1,1,-1,0,0,0,1,0,0,0,0,1
264,1994,8,51,0,0,16,1,6,5,5,2,1,0,0,0,0,0,0,0,0,0
265,1994,4,29,1,0,14,0,4,5,1,2,2,0,1,0,0,0,0,0,0,1
266,1994,8,37,2,0,12,0,3,5,99,1,4,0,0,0,0,0,NA,NA,2,0
267,1994,8,66,2,0,17,0,6,5,0,1,-1,0,0,0,1,0,0,0,1,1
268,1994,8,34,2,0,13,0,6,5,0,0,-1,0,1,0,1,0,0,0,1,1
269,1994,8,39,0,0,12,0,7,5,4,0,2,0,0,0,1,0,1,0,2,1
270,1994,8,44,2,0,12,1,6,5,0,0,-1,0,1,0,1,0,0,0,0,0
271,1994,6,37,2,0,12,2,6,5,1,0,-1,0,1,0,1,0,0,0,1,0
272,1994,8,50,0,0,15,0,6,5,0,2,3,0,1,0,0,0,0,0,0,1
273,1994,8,40,2,0,13,0,5,5,2,0,6,0,1,0,1,0,1,0,2,0
274,1994,8,57,2,0,14,0,5,5,2,0,-1,0,1,0,1,0,1,0,1,1
275,1994,7,46,1,0,14,0,6,5,0,0,3,0,1,0,1,0,0,0,2,1
276,1994,8,30,0,0,11,2,6,5,1,2,2,0,1,0,0,0,0,0,0,1
277,1994,8,57,0,0,13,1,6,5,99,2,2,1,0,0,1,0,NA,NA,0,1
278,1994,8,46,2,0,14,1,6,5,2,0,-1,0,1,0,1,0,1,0,0,1
279,1994,8,31,1,0,15,0,6,5,5,0,2,0,1,1,1,1,0,1,2,0
280,1994,9,41,0,0,16,1,5,5,1,2,2,0,1,0,1,0,0,0,0,1
281,1994,4,46,2,0,12,0,6,5,1,0,4,1,0,0,1,0,0,0,2,1
282,1994,8,30,2,0,10,0,4,5,1,0,3,1,1,0,0,0,0,0,2,1
283,1994,9,36,2,0,10,0,1,5,0,0,-1,0,0,0,0,0,0,0,1,0
284,1994,4,29,2,0,11,0,4,5,1,0,-1,0,0,0,0,0,0,0,0,0
285,1994,8,52,2,1,12,1,5,5,3,2,2,0,1,1,0,0,1,0,0,1
286,1994,4,17,1,0,8,0,2,5,0,2,10,0,1,0,1,0,0,0,0,1
287,1994,8,54,0,0,12,2,6,5,1,2,2,1,1,0,0,0,0,0,1,1
288,1994,1,0,2,0,11,1,6,5,1,0,7,0,0,0,0,0,0,0,2,1
289,1994,8,36,0,0,12,1,6,5,5,0,2,1,1,0,0,0,0,0,2,1
290,1994,4,49,0,0,14,0,6,5,4,1,4,0,0,0,0,0,1,0,2,1
291,1994,8,34,2,0,14,2,4,5,4,0,-1,0,1,1,1,1,1,0,1,1
292,1994,9,42,0,0,12,1,2,5,6,2,0,1,1,0,1,0,0,1,1,1
293,1994,5,44,2,0,16,4,3,5,1,0,-1,1,0,0,1,0,0,0,0,1
294,1994,8,34,2,0,13,1,5,5,5,0,-1,1,0,0,1,0,0,0,1,1
295,1994,4,30,0,0,11,0,6,5,0,1,-1,1,1,0,0,0,0,0,0,1
296,1994,7,35,0,0,11,4,3,5,1,2,5,1,0,0,0,0,0,0,1,1
297,1994,4,50,0,0,12,0,6,5,2,0,-1,0,1,0,0,0,1,0,0,1
298,1994,4,53,0,0,12,0,6,5,1,0,-1,0,0,0,0,0,0,0,0,1
299,1994,8,47,2,0,14,0,3,5,4,2,2,0,0,0,0,0,1,0,1,1
300,1994,9,29,2,0,10,0,5,5,1,2,5,0,1,0,1,0,0,0,0,1
301,1994,1,0,0,0,12,0,6,5,2,0,-1,0,1,0,1,0,1,0,0,1
302,1994,1,36,0,0,9,0,6,5,0,0,-1,0,1,0,1,0,0,0,0,1
303,1994,8,22,2,0,12,0,3,5,1,2,4,0,1,0,1,0,0,0,1,1
304,1994,8,25,1,0,12,0,6,5,2,2,3,1,0,0,1,0,1,0,0,1
